Successfully read 176 radiation samples.
Maximum counts per minute found: 45

Radiation samples within 5 counts of maximum (45):
Date			Counts per minute
----------------------------------------
2018-05-15 09:33		40
2018-05-15 09:35		42
2018-05-15 09:38		41
2018-05-15 09:41		43
2018-05-15 09:45		41
2018-05-15 09:47		44
2018-05-15 09:49		40
2018-05-15 09:51		42
2018-05-15 09:54		45
2018-05-15 09:55		41
2018-05-15 09:58		40
2018-05-15 10:00		43
2018-05-15 10:03		41
2018-05-15 10:05		44
2018-05-15 10:07		42
2018-05-15 10:09		40
2018-05-15 10:12		45
2018-05-15 10:13		41
2018-05-16 08:21		42
2018-05-16 08:23		40
2018-05-16 08:25		43
2018-05-16 08:27		41
2018-05-16 08:29		44
2018-05-16 08:31		42
2018-05-16 08:33		40
2018-05-16 08:36		45
2018-05-16 08:37		41
2018-05-16 08:40		43
2018-05-16 08:42		40
2018-05-16 08:44		42
2018-05-16 08:46		41
2018-05-16 08:48		44
2018-05-16 08:50		43
