GQ Electronics LLC, GMC Data Viewer,Version 2.40
Date Time,uSv/h,CPM,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23,#24,#25,#26,#27,#28,#29,#30,#31,#32,#33,#34,#35,#36,#37,#38,#39,#40,#41,#42,#43,#44,#45,#46,#47,#48,#49,#50,#51,#52,#53,#54,#55,#56,#57,#58,#59,#60,
FEDERAL-WAY,,,
2018-04-06 17:13,Every Minute,16,
2018-04-06 17:14,Every Minute,18,
2018-04-06 17:15,Every Minute,15,
2018-04-06 17:16,Every Minute,15,
2018-04-06 17:17,Every Minute,19,
2018-04-06 17:18,Every Minute,12,
2018-04-06 17:19,Every Minute,20,
2018-04-06 17:20,Every Minute,14,
2018-04-06 17:21,Every Minute,17,
2018-04-06 17:22,Every Minute,16,
2018-04-06 17:23,Every Minute,13,
2018-04-06 17:24,Every Minute,18,
2018-04-06 17:25,Every Minute,21,
2018-04-06 17:26,Every Minute,15,
2018-04-06 17:27,Every Minute,19,
2018-04-06 17:28,Every Minute,16,
2018-04-06 17:29,Every Minute,14,
2018-04-06 17:30,Every Minute,22,
2018-04-06 17:31,Every Minute,17,
2018-04-06 17:32,Every Minute,18,
2018-04-06 17:33,Every Minute,15,
2018-04-06 17:34,Every Minute,20,
2018-04-06 17:35,Every Minute,16,
2018-04-06 17:36,Every Minute,19,
2018-04-06 17:37,Every Minute,13,
2018-04-06 17:38,Every Minute,17,
2018-04-06 17:39,Every Minute,21,
2018-04-06 17:40,Every Minute,18,
2018-04-06 17:41,Every Minute,14,
2018-04-06 17:42,Every Minute,16,
2018-04-06 17:43,Every Minute,19,
2018-04-06 17:44,Every Minute,15,
2018-04-06 17:45,Every Minute,23,
2018-04-06 17:46,Every Minute,17,
2018-04-06 17:47,Every Minute,20,
2018-04-06 17:48,Every Minute,14,
2018-04-06 17:49,Every Minute,18,
2018-04-06 17:50,Every Minute,16,
2018-04-06 17:51,Every Minute,21,
2018-04-06 17:52,Every Minute,19,
2018-04-06 17:53,Every Minute,15,
2018-04-06 17:54,Every Minute,17,
2018-04-06 17:55,Every Minute,24,
2018-04-06 17:56,Every Minute,20,
2018-04-06 17:57,Every Minute,16,
2018-04-06 17:58,Every Minute,18,
2018-04-06 17:59,Every Minute,14,
2018-04-06 18:00,Every Minute,22,
2018-04-06 18:01,Every Minute,17,
2018-04-06 18:02,Every Minute,19,
2018-04-06 18:03,Every Minute,15,
2018-04-06 18:04,Every Minute,21,
2018-04-06 18:05,Every Minute,18,
2018-04-06 18:06,Every Minute,16,
2018-04-06 18:07,Every Minute,23,
2018-04-06 18:08,Every Minute,14,
2018-04-06 18:09,Every Minute,20,
2018-04-06 18:10,Every Minute,17,
2018-04-06 18:11,Every Minute,19,
2018-04-06 18:12,Every Minute,15,
2018-04-06 18:13,Every Minute,22,
2018-04-06 18:14,Every Minute,18,
2018-04-06 18:15,Every Minute,16,
2018-05-15 09:30,Every Minute,35,
2018-05-15 09:31,Every Minute,38,
2018-05-15 09:32,Every Minute,33,
2018-05-15 09:33,Every Minute,40,
2018-05-15 09:34,Every Minute,36,
2018-05-15 09:35,Every Minute,42,
2018-05-15 09:36,Every Minute,39,
2018-05-15 09:37,Every Minute,37,
2018-05-15 09:38,Every Minute,41,
2018-05-15 09:39,Every Minute,34,
2018-05-15 09:40,Every Minute,38,
2018-05-15 09:41,Every Minute,43,
2018-05-15 09:42,Every Minute,36,
2018-05-15 09:43,Every Minute,39,
2018-05-15 09:44,Every Minute,37,
2018-05-15 09:45,Every Minute,41,
2018-05-15 09:46,Every Minute,35,
2018-05-15 09:47,Every Minute,44,
2018-05-15 09:48,Every Minute,38,
2018-05-15 09:49,Every Minute,40,
2018-05-15 09:50,Every Minute,36,
2018-05-15 09:51,Every Minute,42,
2018-05-15 09:52,Every Minute,39,
2018-05-15 09:53,Every Minute,37,
2018-05-15 09:54,Every Minute,45,
2018-05-15 09:55,Every Minute,41,
2018-05-15 09:56,Every Minute,38,
2018-05-15 09:57,Every Minute,34,
2018-05-15 09:58,Every Minute,40,
2018-05-15 09:59,Every Minute,36,
2018-05-15 10:00,Every Minute,43,
2018-05-15 10:01,Every Minute,39,
2018-05-15 10:02,Every Minute,37,
2018-05-15 10:03,Every Minute,41,
2018-05-15 10:04,Every Minute,35,
2018-05-15 10:05,Every Minute,44,
2018-05-15 10:06,Every Minute,38,
2018-05-15 10:07,Every Minute,42,
2018-05-15 10:08,Every Minute,36,
2018-05-15 10:09,Every Minute,40,
2018-05-15 10:10,Every Minute,39,
2018-05-15 10:11,Every Minute,37,
2018-05-15 10:12,Every Minute,45,
2018-05-15 10:13,Every Minute,41,
